# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 12 08:21:15 2022
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN tid:            TESS Input Catalog ID
#
tfopwg_disp,tid
FP,219208037
PC,59128183
PC,67782629
PC,434260570
PC,311271011
PC,117799904
PC,449197831
PC,192790476
KP,158623531
APC,454224694
KP,411839167
PC,248434780
PC,452375478
KP,32949762
PC,146523262
KP,293612446
PC,71013298
FP,31114545
APC,117843067
KP,160148385
PC,298981199
PC,71088556
PC,248650906
PC,399868187
PC,449257028
FP,373453507
APC,43868600
PC,412054152
PC,262435954
PC,167661160
PC,201793781
FP,1449756
PC,262258341
PC,117938087
FP,219151731
PC,68035559
PC,328934463
PC,369376388
PC,394346745
PC,139251123
PC,279327604
PC,179985715
PC,77437543
APC,80567842
APC,282498590
PC,123664207
PC,282576340
PC,282576340
PC,33091590
PC,160328683
PC,97568467
PC,263179590
PC,67196573
KP,184240683
PC,206785987
PC,134471108
KP,52689469
KP,124778445
PC,206906112
PC,443127052
APC,393298446
PC,354519019
PC,147430118
APC,143282930
CP,224225541
FP,170103435
FP,124702477
PC,124491883
PC,59842822
PC,317134140
PC,123627908
PC,295947393
FP,48178229
PC,96925186
PC,47720259
APC,237924601
PC,177414713
APC,72556406
PC,148883384
PC,443213925
PC,169249234
PC,149601126
PC,149601126
PC,380836882
PC,126572546
PC,83154030
PC,269333648
PC,322063810
PC,52059926
PC,262843259
PC,20579360
PC,418012030
PC,219332978
PC,204698337
PC,20299658
PC,399967279
PC,443115574
PC,201508515
FA,49687222
PC,354518617
PC,354518617
PC,31054498
PC,431971818
CP,270604417
PC,341419787
PC,149845414
APC,388089437
KP,444013020
KP,350293646
PC,80711765
KP,204317710
PC,294500964
PC,6276559
PC,31515092
PC,238542895
FP,144043410
PC,155491828
PC,468981993
PC,269400980
PC,283307274
PC,441453629
KP,92226327
KP,92226327
PC,441155146
PC,422385684
PC,420177051
PC,387409975
PC,334482103
PC,321086563
PC,284679064
PC,258920431
PC,257067559
PC,248655556
CP,200723869
PC,239816546
